// 0.7.1

1941	1941 - 反击战
1942	1942
1943	1943 - 中途岛海战
1943kai	1943改 - 中途岛海战
19xx	19XX - 命运否决战
2020bb	2020年超级棒球
3countb	火线摔跤
3wonders	奇迹 3 合 1
4dwarrio	4D 战士
720	720° 滑板小子
88games	柯拿米运动会 '88
aburner2	冲破火网 II
actfancr	战斗机器
aerofgt	音速之翼 / 四国战机 
ainferno	空中射程
airbustr	空中堡垒
aircombj	皇牌空战
alien3	异形 3
aliens	异形
aliensyn	异形特攻队
alpham2	ASO II - 最后的守护神
altbeast	兽王记
amazon	圣战士 天照
amidar	雷达
androdun	勇者之击
aodk	痛快 GANGAN 进行曲
aof	龙虎之拳
aof2	龙虎之拳2
aof3	龙虎之拳 外传
apb	APB 全国大搜查
aquajack	战斗快艇 - 杰克小子
aquarium	海底生物战
arabfgt	阿拉伯战
arabianm	阿拉伯魔法
arkretrn	打砖块 2
armedf	武装编队
armwar	机甲战士
ashura	阿修罗风暴
assault	重装坦克
asterix	高卢奇兵
astorm	异形的风暴
astyanax	战王之王
asuka	飞鸟 & 飞鸟
avengers	必杀! 无赖拳
avsp	异形 对 铁血战士
baddudes	龙行忍者
bakatono	傻瓜殿下 - 麻雀漫游记
bakutotu	爆突机铳艇
bangbead	碰碰球
batman	蝙蝠侠
batrider	防卫厅之战警们 / 蝙蝠骑警
battleg	空战之路
battroad	战斗之道
bayroute	海湾战争 / Bay Route
bbakraid	战斗翔鹰
berabohm	超绝伦人 Beraboh Man
bigrun	大跑者越野赛车
birdtry	博蒂物语
bjourney	蓝色之旅 / 拉吉少年
blastoff	原爆战机
blazer	坦克先锋
blazstar	闪亮之星 / 燃烧之星
blkpnthr	黑豹
blockgal	打砖块美女版
blockout	立体空间方块
bloodstm	血腥风暴
bloxeed	俄罗斯方块擂台
blstroid	爆破彗星 2 
blswhstl	出发!! 兵蜂
blzntrnd	摔角旋风
bombjack	炸弹杰克
bonzeadv	地狱小和尚
boogwing	钩子战机
bouldash	钻石小子
boxyboy	仓库番
brain	太空登陆战
breakers	爆烈人
breakrev	爆烈人 复仇
brival	世纪格斗 - 燃烧的敌手
bssoccer	街头足球
bstars	棒球之星 专业版
bstars2	棒球之星 2
btlkroad	世界武术格斗比赛
bubblem	泡泡的记忆
bublbob2	泡泡龙 - 交响乐
bublbobl	泡泡龙
bubsys	Bubble System BIOS
bucky	宇宙野兔
burningf	热血快打
cadash	卡达叙传说
cameltry	魔法迷宫 - 天使水晶球
captaven	上尉密令
captcomm	名将
cawing	雌虎战机
cbuster	暴力克星
cclimbr2	疯狂爬梯者 2
chasehq	追踪 HQ
chelnov	原子超人
chinagat	西游降魔录 - 流棒妖技之章
chinatwn	唐人街
chplft	直升机救难
cischeat	警车热击
citybomb	炸弹赛车
cleopatr	埃及艳后宝石方块
cltchitr	职业棒球
cobracom	眼睛蛇指令
commando	战场之狼
contcirc	方程式赛车 - F1 巡回赛
contra	魂斗罗
cosmogng	外星人趣味射击 (美版)
cotton	棉花小魔女
crimec	罪恶都市
crimfght	罪恶战士
crsword	圣十字剑
csprint	冠军环绕赛车
ctomaday	番茄超人
ctribe	战斗部落
cuebrick	砖块拼图大考验
cworld2j	冒险问答 - 卡普空世界2
cyberlip	战斗边缘
cybots	机甲战士 - 全金属狂潮
cybsled	究极坦克
cyvern	机甲飞龙
dakkochn	脱子雀庄
dangar	UFO 变形金刚
dangseed	危机四伏
darius	太空战机
darius2	太空战机II
dariusg	太空战机外传 - 银鹰
darkedge	黑暗边缘
darkseal	暗黑封印
//daytonaj	梦游美国 (日版)
//daytonau	梦游美国 (美版)
dbz2	龙珠 Z 2 - 超部门大会
dbzvrvs	龙珠 V.R.V.S
ddcrew	DD 部队
ddragon2	双截龙 II - 复仇	双截龙2
ddragon3	双截龙 3 - 罗塞塔之石	双截龙3
ddsom	龙与地下城 2 - 暗黑秘影
ddtod	龙与地下城 - 毁灭之塔
deadconx	死亡边缘
demonwld	步步惊魂
//densdeg2	电车 de Go! 2 - 高速版
//densdego	电车 de Go!
devilw	魔兽王国
devstors	饿流祸
dietgg	乐乐小子
digdug2	挖金子 II
dino	恐龙新世纪
dinorex	大恐龙格斗技传说
dirtfoxj	污垢之狐
djboy	DJ 男孩
dondokod	木匠兄弟
dotron	立体飞盘
doubledr	双截龙 (MVS版)	双截龙mvs
dragngun	魔龙
driftout	越野赛车
drivedge	方程式赛车
dsaber	龙魂 2
dspirit	龙魂
dstlk	恶魔战士 - 午夜斗士
dungeonm	光明力量
dunkshot	大扣篮
earthjkr	国联防卫军 - 地球王牌
ecofghtr	环保战士
edf	E.D.F.- 地球防卫军
eightman	8号超人
elvactr	电梯大战 2
endurob2	世嘉 越野机车赛 (盗版 2)
endurobl	世嘉 越野机车赛 (盗版 1)
enduror	世嘉 越野机车赛
enforce	超强火力
eto	古今东西干支物语
exctleag	刺激联盟
exzisus	行星任务
f1en	一级方程式 排器纪录
f1gp	一级方程式 GP 大赛
f1gp2	一级方程式 GP 大赛 II
f1gpstar	一级方程式 GP 巨星
f1lap	一级方程式 超级金足
faceoff	冰上曲棍球
fatfursp	饿狼传说 特别版
fatfury1	饿狼传说 - 宿命之战
fatfury2	饿狼传说 2 - 新的战斗
fatfury3	饿狼传说 3 - 远古征战
fbfrenzy	疯狂橄榄球
fcombat	太空战场
ffight	快打旋风
fghthist	格斗列传
fhawk	战斗猎鹰
fightfev	狂热战门
finalap2	最后冲剌 2
finalap3	最后冲剌 3
finalb	最终打击
finallap	最后冲剌
finehour	决战时刻
flicky	小鸟妃奇
flipshot	盾牌大战
flower	花殒石
footchmp	冠军杯足球赛
forgottn	失落的世界 (美版)
fourtrax	越野沙滩车
frogger	青蛙过河
fround	拳击决赛
fshark	飞翔鲛
ga2	战斧 2
galaga88	大蜜蜂 '88
galaxyfg	星系格斗
galivan	宇宙刑警
galmedes	高米达斯星战
ganryu	武藏严流记
gaplus	大蜜蜂加强版 / Gaplus
gardia	巡弋飞艇
garou	饿狼 - 群狼之证
garyoret	臥龙列传
gaunt2	圣铠 II
gauntlet	圣铠
gekirido	逆鳞弹
gforce2	星际大争霸 II
ghostb	迷宫猎人 G / Real Ghost Busters (美版)
ghouls	大魔界村
gigawing	激钢之翼
gijoe	特种部队
gldneye	007 Golden Eye (弹珠)
gloc	空战神兵
gng	魔界村
goalx3	世界杯足球
gokuparo	极上沙罗曼蛇
gollygho	灵异双枪
gondo	魔境战士
gowcaizr	超人学园 Gowcaizer
gpilots	魔鬼战将 / 幽灵战区
gprider	超真实 GP 摩托车
gradius	宇宙巡航机
gradius3	宇宙巡航机 III - 传说神话
grobda	坦克大战
growl	森林保护神
gseeker	栅幕巡航
gt3d	金牌高尔夫 3D
gt97	金牌高尔夫 '97
guardian	踢馆
gulfwar2	海湾战争 II
gunbird	武装飞鸟
gunbustr	飞跃颠峰
gunfront	枪之国度
gunlock	枪锁
gunsmoke	荒野大镖客
gururin	旋转方块
guwange	狱门山物语 / Guwange
gwarrior	银河战士
gyruss	太空射击战 / Gyruss
hachoo	破兆!
hangon	世嘉 摩托车大赛
harddunk	街头大灌篮
hardyard	实况橄榄球
hasamu	霸沙梦
hbarrel	重级作战 / 重装战士
hcastle	恶魔城 Dracula / Haunted Castle
hellfire	地狱火
hiimpact	狂野橄榄球
hippodrm	激斗幻想 / Hippodrome
hitice	暴力冰上曲棍球
holo	虚拟武术世界
hopmappy	跳跳鼠 / Hopping Mappy
horekid	太空宝宝大作战
hotdogst	眩之风暴
hustler	电视撞球
hvymetal	重装任务
hwchamp	重量拳击
hydra	海德拉
imsorry	大头课长捡金块
indytemp	圣战奇兵 / 魔宫传奇
irrmaze	终极电流急急棒
janshin	雀神传説
journey	旅行者乐团
joyjoy	阳光方块
jpark	侏罗纪公园
kabukikl	天外魔境真传
kaiserkn	断仇牙 / 王者铁拳
karnov	卡洛夫
karnovr	斗士的历史 - 卡洛夫的复仇
kittenk	猫咪仓库番
kizuna	风云默示录 2 - 超级组队战
knights	圆桌骑士
kod	龙王战士
kodure	子连狼
kof2000	拳皇 2000	拳皇2000
kof2001	拳皇 2001	拳皇2001
kof94	拳皇 '94	拳皇1994
kof95	拳皇 '95	拳皇1995
kof96	拳皇 '96	拳皇1996
kof97	拳皇 '97	拳皇1997
kof98	拳皇 '98 - 梦战斗未结束	拳皇1998
kof99	拳皇 '99 - 千年之战	拳皇1999
konamigt	柯拿米 GT 赛车
koshien	呜呼荣光甲子园
kotm	魔兽之王
kotm2	魔兽之王 2
ktiger2	究极虎 II
kungfum	成龙踢馆
kyukaidk	球界道中记
landmakr	方城战略物语
lastblad	幕末浪漫 月华剑士
lastbld2	幕末浪漫第二幕 月华剑士 - 月中芳华,散落月下
lastmisn	最终任务
lbowling	爆笑保龄球
ldrun	超级运动员
ldrun2	超级运动员 II - 帝国的反击
ldrun3	超级运动员 III - 魔神的复活
le2	双枪 II / Lethal Enforcers II
legendos	传说之虎
legion	超时迷宫 / 飞行军团
lemmings	旅鼠总动员 / 疯狂小旅鼠
lethalen	双枪 / Lethal Enforcers
lghost	鬼魂射击 / Laser Ghost
lgtnfght	火龙
